"site_name","site_code","asset_number","asset_id","easting","northing","ev_charger","lamp_type","next_electrical_test_date","structural_test_classification","next_structural_test_year"
"Alberta Street",22500031,206.00,"1157L01",531841.19,178443.69,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Alberta Street",22500031,218.00,"1157L11",531662.43,178278.55,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Albion Street",22500033,223.00,"250L19",535378.12,179775.92,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Albion Street",22500033,100001.00,"250L07",535170.32,179594.94,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Albion Street",22500033,100006.00,"250L02",535153,179530,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Ambergate Street",22500074,385.00,"1158L04",531775.21,178241.53,"Not Applicable","LED","2025/2026","Low Amber","2022/2023"
"Ambergate Street",22500074,395.00,"1158L11",531801.33,178341.86,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Amelia Street",22500077,410.00,"1166L11",532014.63,178411.19,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Amelia Street",22500077,88888.00,"1166L15",532125.19,178461.34,"Not Applicable","SON","2022/2023","Green","2022/2023"
"Amelia Street",22500077,88888.03,"1166L18",532111.3,178470.36,"Not Applicable","SON","2022/2023","Green","2022/2023"
"Ann Moss Way",22500086,88888.02,"134L02",535179,179359,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Ann Moss Way",22500086,88888.07,"134L06",535109,179346,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Ann Moss Way",22500086,88888.11,"134L10",535144,179286,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Ann Moss Way",22500086,88888.12,"134L11",535113,179272,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Archangel Street",22500090,485.00,"0469L02",535900,179710,"Not Applicable","LED","2028/2029","Low Amber","2022/2023"
"Archangel Street",22500090,487.00,"0469L04",535936.14,179721.35,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Artichoke Place",22500098,516.00,"2268L01",532705.48,176739.65,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Aylesbury Road",22500121,641.00,"1130L02",532889.68,178256.38,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Aylesbury Road",22500121,643.00,"1130L05",532839.08,178237.82,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Berryfield Road",22500229,1238.00,"1159L02",531963.91,178299.23,"Not Applicable","LED","2024/2025","Green","2022/2023"
"Berryfield Road",22500229,1239.00,"1159L03",531941.39,178305.76,"Not Applicable","LED","2024/2025","Green","2022/2023"
"Berryfield Road",22500229,1242.00,"1159L06",531919.88,178347.71,"Attached to Column","LED","2024/2025","Green","2022/2023"
"Bethwin Road",22500231,1249.00,"1056WL02",532347.63,177478.49,"Not Applicable","LED","2023/2024","Not Applicable","2022/2023"
"Bethwin Road",22500231,1250.00,"1056WL03",532339.93,177463.08,"Not Applicable","LED","2023/2024","Not Applicable","2022/2023"
"Bevin Close",22500235,1266.00,"425L01",536071.94,180305.13,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Boat Lifter Way",22500272,88888.00,"551L01",536288.28,178927.17,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Braganza Street",22500312,1720.00,"1027L13",531801.24,178160.3,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Brettell Street",22500331,1856.00,"1329L02",532825.83,178197.79,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Brisbane Street",22500334,2216.00,"2212L05",532695.91,177149.41,"Not Applicable","LED","2028/2029","Low Amber","2022/2023"
"Brisbane Street",22500334,2218.00,"2212L09",532712.59,177024.97,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2332.00,"0471L08",535969.3,179170.7,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2336.00,"0471L12",536029.4,179239.9,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2347.00,"0471L18",536050.6,179179.3,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2348.00,"0471L19",535990.24,179179.48,"Not Applicable","LED","2029/2030","Green","2022/2023"
"Brunswick Quay",22500361,2352.00,"0471L23",535932.6,179118.2,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2353.00,"0471L24",535956.6,179126.8,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2355.00,"0471L26",536005.2,179143.3,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2358.00,"0471L29",536079.7,179169.4,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2359.00,"0471L30",536103.7,179178.5,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2367.00,"0471L37",536106.9,179229.8,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,100000.00,"0471L41",536123.8,179221.7,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Camberwell Green",22500399,2589.00,"2029L01",532519.44,176906.06,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Green",22500399,2596.00,"2029L08",532597.8,176846.32,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Green",22500399,2598.00,"2029L10",532608.32,176809.02,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Green",22500399,2609.00,"2029L22",532524,176753.73,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Green",22500399,2613.00,"2029L24",532536.09,176749.38,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Passage",22500416,2678.00,"2028L01",532438.64,176803.42,"Not Applicable","LED","2023/2024","Green","2022/2023"
"Camberwell Passage",22500416,2681.00,"2028L04",532491.74,176825.16,"Not Applicable","LED","2023/2024","Green","2022/2023"
"Camberwell Road",22500417,2689.00,"2064L03",532445.2,177824.76,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Road",22500417,2694.00,"2064L12",532408.64,177602.5,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Road",22500417,2695.00,"2064L13",532423.32,177576.38,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Road",22500417,2707.00,"2064L20",532425.64,177390.24,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Road",22500417,2708.00,"2064L21",532440.76,177364.92,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Road",22500417,2710.00,"2064L23",532449.36,177315.76,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Road",22500417,88888.01,"2064L34",532475.58,177075.83,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Camberwell Road",22500417,88888.07,"2064L40",532494.76,176918.78,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Canada Street",22500428,2759.00,"404L06",535785.64,179606.46,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Canada Street",22500428,2765.00,"404L07",535782.64,179620.64,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Canada Street",22500428,2768.00,"404L10",535823.88,179671.62,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Carter Place",22500454,2829.00,"1378L05",532264.64,178133.61,"Not Applicable","SON","2022/2023","Green","2022/2023"
"Carter Place",22500454,2830.00,"1378L08",532245.15,178134.94,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Carter Street",22500455,2836.00,"1379L04",532082.49,178034.71,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Carter Street",22500455,2839.00,"1379L07",532046.45,177993.96,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Carter Street",22500455,2840.00,"1379L08",532033.19,177997.49,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Caspian Street",22500460,88888.01,"2034L02",532613.6,177308.05,"In Column","LED","2028/2029","Green","2022/2023"
"Caspian Street",22500460,88888.02,"2034L03",532642.23,177286.85,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Cathay Street",22500463,2927.00,"254L01",534856.4,179567.67,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Cathay Street",22500463,2928.00,"254L02",534851.59,179585.22,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Chapter Road",22500486,3100.00,"1352L06",531875.12,178034.72,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Chapter Road",22500486,3105.00,"1352L11",531945.12,177996.59,"Not Applicable","LED","2025/2026","Low Amber","2022/2023"
"Chilton Grove",22500499,3186.00,"158L03",536106,178807,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Chilton Grove",22500499,3187.00,"158L02",536125,178832,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Chilton Grove",22500499,3188.00,"158L01",536156.67,178836.4,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Chilton Grove",22500499,88888.00,"158L10",535935,178720,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Chumleigh Street",22500508,3237.00,"2191L02",533118.59,177903.14,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Chumleigh Street",22500508,100001.00,"2191L04",533102.5,177878.1,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Chumleigh Street",22500508,100006.00,"2191L09",533111.5,177834.1,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Clack Street",22500513,3268.00,"256L03",535389.64,179688.6,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Crampton Street",22500633,3908.00,"1060L05",532084.48,178435.26,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Crampton Street",22500633,3913.00,"1060L10",532024.68,178535.48,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Crawford Road",22500637,3924.00,"2054L02",532300.7,176561.41,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Crawford Road",22500637,3925.00,"2054L03",532309.29,176540.95,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Crawford Road",22500637,3930.00,"2054L08",532410.58,176438.31,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Croft Street",22500650,3995.00,"159L03",536058.38,178658,"Attached to Column","SON","2022/2023","Green","2022/2023"
"Croft Street",22500650,3999.00,"159L07",536143,178710,"Not Applicable","SON","2022/2023","Green","2022/2023"
"D'eynsford Road",22500693,4597.00,"2027L01",532600.75,176900.66,"Not Applicable","LED","2025/2026","Green","2022/2023"
"D'eynsford Road",22500693,4601.00,"2027L05",532694.64,176921.76,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Dale Road",22500696,4231.00,"1718L01",531960.19,177561.07,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Date Street",22500717,4342.00,"1123L03",532476.54,178208.6,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Date Street",22500717,4343.00,"1123L04",532502.47,178223.17,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Date Street",22500717,4347.00,"1123L08",532587.19,178270.62,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Dawes Street",22500720,4362.00,"1132L08",532855.64,178353.32,"Not Applicable","LED","2025/2026","High Amber","2022/2023"
"Dawes Street",22500720,4363.00,"1132L07",532841.87,178368.34,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Dawes Street",22500720,4364.00,"1132L06",532825.52,178378.34,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Dawes Street",22500720,4365.00,"1132L05",532810.26,178405.12,"Not Applicable","LED","2025/2026","Green","2022/2023"
"De Laune Street",22500725,4401.00,"1028L09",531591.57,178150.89,"Not Applicable","LED","2027/2028","Green","2022/2023"
"De Laune Street",22500725,4404.00,"1028L12",531631.2,178198.78,"Attached to Column","LED","2027/2028","Green","2022/2023"
"De Laune Street",22500725,4406.00,"1028L14",531655.64,178240,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Dean Close",22500732,4407.00,"0452L01",535808.18,180094.03,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Dean Close",22500732,4408.00,"0452L02",535781.93,180102.91,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Dean Close",22500732,4412.00,"0452L06",535797.53,180107.5,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Denmark Road",22500754,4544.00,"2509L17",532105.48,176572.79,"Not Applicable","Compact Flourescent","2022/2023","Not Applicable","2022/2023"
"Denmark Road",22500754,4545.00,"2509L18",532096.26,176552.37,"Not Applicable","Compact Flourescent","2022/2023","Not Applicable","2022/2023"
"Denmark Road",22500754,4644.00,"2509L11",532275.23,176345.16,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Dock Hill Avenue",22500774,4626.00,"0458L02",535877.95,179952.24,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Doddington Grove",22500779,4653.00,"1345L03",531795.48,178110.04,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Doddington Grove",22500779,4654.00,"1345L04",531783.8,178123.7,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Doddington Grove",22500779,4660.00,"1345L10",531736.7,178042.2,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Doddington Grove",22500779,4664.00,"1345L14",531702.64,177986.4,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Doddington Grove",22500779,4668.00,"1345L18",531668.55,177945.29,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Downtown Road",22500799,4752.00,"417L01",536433.8,179777.94,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Downtown Road",22500799,4757.00,"417L06",536283,179800.4,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Downtown Road",22500799,4758.00,"417L07",536280.44,179834.28,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Draco Street",22500803,4761.00,"1362L01",532090.36,177890.26,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Edmund Street",22500879,5617.00,"2205L01",532689.56,177420.9,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Elephant Lane",22500889,5734.00,"258L06",535056.64,179786.32,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Elephant Lane",22500889,5737.00,"258L01",535108.2,179737.5,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Elephant Lane",22500889,88882.00,"258L10",535030.8,179761.5,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Elephant Lane",22500889,88888.00,"258L08",535037.9,179781,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Farrow Place",22500944,6067.00,"435L01",536257.64,179437.82,"Not Applicable","LED","2030/2031","Low Amber","2022/2023"
"Faunce Street",22500946,6072.00,"1036L03",531651.92,178037.62,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Fielding Street",22500959,100002.00,"1712L14",532249,177938,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Finland Street",22500962,6161.00,"512L15",536438,179293.06,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Finland Street",22500962,6162.00,"512L16",536460.68,179301.2,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Finland Street",22500962,6165.00,"512L19",536518.44,179320.88,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Finland Street",22500962,6177.00,"512L05",536282.08,179235.67,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Finland Street",22500962,6178.00,"512L07",536304.64,179243.62,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Fleming Road",22500965,6207.00,"1363L01",531752.14,177825.64,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Fleming Road",22500965,6211.00,"1363L05",531812.38,177873.01,"Not Applicable","LED","2025/2026","Low Amber","2022/2023"
"Fleming Road",22500965,6213.00,"1363L07",531842.64,177883.82,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Forsyth Gardens",22500981,6296.00,"1678L06",531878.45,177813.96,"Attached to Column","LED","2028/2029","Green","2022/2023"
"Forsyth Gardens",22500981,6307.00,"1678L01",531800.26,177778.6,"Not Applicable","LED","2028/2029","Low Amber","2022/2023"
"Fulford Street",22501007,6461.00,"259L01",534903.6,179660.42,"Not Applicable","LED","2029/2030","New Item (Test After 15yrs)","2022/2023"
"Fulford Street",22501007,6462.00,"259L02",534891.15,179670.09,"In Column","LED","2029/2030","New Item (Test After 15yrs)","2022/2023"
"Fulford Street",22501007,6464.00,"259L04",534883.24,179698.51,"Attached to Column","LED","2029/2030","New Item (Test After 15yrs)","2022/2023"
"Fulford Street",22501007,6465.02,"259L07",534871.78,179744.59,"Not Applicable","LED","2029/2030","New Item (Test After 15yrs)","2022/2023"
"Globe Pond Road",22501070,6736.00,"410L01",536155.44,180331.06,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Globe Pond Road",22501070,6739.00,"410L04",536167.3,180260.1,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Globe Pond Road",22501070,6742.00,"410L07",536165.36,180206.82,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Globe Pond Road",22501070,6745.00,"410L10",536103.64,180196.5,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Greenland Quay",22501146,7053.00,"0473L06",535933,178962,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Greenland Quay",22501146,7056.00,"0473L09",536001,178985,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Greenland Quay",22501146,100116.00,"0473L15",536123,179025,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Greenland Quay",22501146,100118.00,"0473L17",536138,178982,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Greenland Quay",22501146,100121.00,"0473L15A",536118,179008,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Gulliver Street",22501174,7339.00,"290L02",536502,179367.74,"Attached to Column","LED","2027/2028","Green","2022/2023"
"Gulliver Street",22501174,7344.00,"290L07",536574.68,179388.44,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Gulliver Street",22501174,100001.00,"290L09",536583.6,179377.4,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Gulliver Street",22501174,100003.00,"290L11",536616.6,179383.4,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Hamilton Close",22501184,7414.00,"444L02",536338.88,179739.5,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Hampton Street",22501186,7415.00,"1058L01",532096.86,178759.06,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Hampton Street",22501186,7416.00,"1058L02",532074.47,178757.99,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Hampton Street",22501186,7417.00,"1058WL01",532061.67,178751.2,"Not Applicable","SON","2022/2023","Green","2022/2023"
"Hampton Street",22501186,7419.00,"1058WL03",532052.64,178744.7,"Not Applicable","SON","2022/2023","Green","2022/2023"
"Hampton Street",22501186,7425.00,"1058L05",532000.98,178716.39,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Harmsworth Street",22501200,7477.00,"1035L07",531541.52,178027.36,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Harmsworth Street",22501200,7478.00,"1035L06",531562.88,178024.96,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Harmsworth Street",22501200,7481.00,"1035L03",531605.36,177987.68,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Hatteraick Street",22501213,7547.00,"261L01",535284.9,179760.9,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2022/2023"
"Hillingdon Street",22501246,7718.00,"1513L16",531905.64,177591.46,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Hillingdon Street",22501246,7722.00,"1513L20",531843.92,177541.62,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Hillingdon Street",22501246,7725.00,"1513L23",531808.44,177501.56,"In Column","LED","2025/2026","Green","2022/2023"
"Hillingdon Street",22501246,7728.00,"1513L14",531939.28,177618.25,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Hillingdon Street",22501246,7737.00,"1513L05",532081.99,177734.68,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Hothfield Place",22501301,7988.00,"307L02",535425.56,179191.78,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Hothfield Place",22501301,7989.00,"307L03",535439.08,179201.82,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Howland Way",22501308,8048.00,"0448L05",536392.56,179620.21,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Howland Way",22501308,8049.00,"0448L06",536367.21,179622.98,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Howland Way",22501308,8050.00,"0448L07",536345,179614.7,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Iliffe Street",22501328,8176.00,"1169L01",531907.27,178429.42,"Attached to Column","LED","2028/2029","Green","2022/2023"
"Iliffe Street",22501328,8183.00,"1169L08",532025.68,178487.82,"Attached to Column","LED","2028/2029","Green","2022/2023"
"John Ruskin Street",22501369,8389.00,"1515L03",532367.44,177809.32,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8396.00,"1515L10",532283.76,177778.04,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8410.00,"1515L19",532165,177697.18,"In Column","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8416.00,"1515L25",532091.2,177651.04,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8417.00,"1515L26",532098,177642.54,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8419.00,"1515L28",532063.68,177628.54,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8425.00,"1515L34",532001.88,177578.1,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8428.00,"1515L37",531970.68,177539.44,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8431.00,"1515L40",531931.36,177521.44,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8432.00,"1515L41",531911.24,177504.9,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8434.00,"1515L43",531894.68,177491.56,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8436.00,"1515L45",531862.76,177465.34,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8440.00,"1515L49",531826.56,177423.12,"Not Applicable","LED","2022/2023","Green","2022/2023"
"John Ruskin Street",22501369,8450.00,"1515L59",531679.56,177292.18,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Kenning Street",22501384,8544.00,"262L01",535359.47,179868.11,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2022/2023"
"Kenning Street",22501384,8545.00,"262L02",535341.37,179858.44,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2022/2023"
"Kennington Park Place",22501386,8553.00,"1436L10",531602.68,177905.72,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Kennington Park Place",22501386,8555.00,"1436L08",531563.8,177927.14,"Attached to Column","LED","2028/2029","Green","2022/2023"
"Kennington Park Place",22501386,8557.00,"1436L06",531524.88,177951.62,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Kennington Park Place",22501386,8560.00,"1436L03",531479.4,177990.31,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Kennington Park Place",22501386,8562.00,"1436L01",531450.44,178015.82,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Kimpton Road",22501406,8650.00,"2264L13",532753.52,176741.62,"Not Applicable","LED","2027/2028","Low Amber","2022/2023"
"Kimpton Road",22501406,100002.00,"2264L04",532707.1,176962.1,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Knatchbull Road",22501442,8855.00,"2534L16",532267.15,176802.06,"Not Applicable","Compact Flourescent","2022/2023","Not Applicable","2022/2023"
"Lagado Mews",22501452,8897.00,"453L02",535797.32,180200.04,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Lagado Mews",22501452,8902.00,"453L07",535878.68,180162.46,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Lavender Road",22501488,9036.00,"416L02",536287.28,180423.58,"Not Applicable","CDM-TT","2022/2023","Green","2022/2023"
"Lavender Road",22501488,9040.00,"416L06",536251.7,180363.84,"Not Applicable","CDM-TT","2022/2023","Green","2022/2023"
"Lavender Road",22501488,9041.00,"416L07",536246.09,180398.76,"Not Applicable","CDM-TT","2022/2023","Green","2022/2023"
"Lavender Road",22501488,9043.01,"416L10",536195.48,180384.68,"Not Applicable","CDM-TT","2022/2023","Green","2022/2023"
"Leydon Close",22501504,9101.00,"0454L03",535837.94,180167.73,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Leydon Close",22501504,88888.04,"454L09",535796.82,180152.86,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Leydon Close",22501504,88888.05,"454L10",535774.48,180139.05,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Leydon Close",22501504,88888.06,"454L11",535773.05,180155.71,"Not Applicable","LED","2028/2029","High Amber","2022/2023"
"Leydon Close",22501504,88888.10,"454L15",535729.4,180155.7,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Leydon Close",22501504,88888.11,"454L16",535727.3,180174.52,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Liverpool Grove",22501528,9234.00,"1324L04",532628.27,178139.69,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Liverpool Grove",22501528,9238.00,"1324L08",532567.58,178110.06,"Not Applicable","LED","2025/2026","High Amber","2022/2023"
"Liverpool Grove",22501528,9245.00,"1324L10",532531.92,178090.32,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Liverpool Grove",22501528,9246.00,"1324L11",532516.38,178073.11,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Liverpool Grove",22501528,9249.00,"1324L13",532500.27,178093.67,"Attached to Column","LED","2027/2028","Green","2022/2023"
"Liverpool Grove",22501528,9252.00,"1324L17",532457.92,178082.08,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Lomond Grove",22501538,9276.00,"2039L04",532599.43,177226.81,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Lomond Grove",22501538,9281.00,"2039L09",532625.49,177069.12,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Lorrimore Road",22501571,9464.00,"1360L04",531909.08,177765.46,"Attached to Column","LED","2025/2026","Low Amber","2022/2023"
"Lorrimore Road",22501571,9467.00,"1360L07",531946.08,177806.78,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Lorrimore Road",22501571,9472.00,"1360L12",532031.11,177860,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Lorrimore Road",22501571,9475.00,"1360L15",532070.44,177906.36,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Lorrimore Road",22501571,9476.00,"1360L16",532093.08,177915.08,"Attached to Column","LED","2025/2026","Green","2022/2023"
"Lorrimore Square",22501573,9478.00,"1359L01",531999.57,177921.55,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Lorrimore Square",22501573,9485.00,"1359L03",531967.52,177896.94,"Attached to Column","LED","2025/2026","Low Amber","2022/2023"
"Lorrimore Square",22501573,9489.00,"1359L07",531930.59,177857.88,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Lovell Place",22501580,9518.00,"436L04",536305,179470.6,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Lowth Road",22501593,9585.00,"2053L02",532256.05,176506.56,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Lowth Road",22501593,9587.00,"2053L04",532297.52,176458.85,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Lowth Road",22501593,9590.00,"2053L07",532356.31,176377.83,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Manor Place",22501649,9894.00,"1171L07",532135.74,178354.48,"Attached to Column","LED","2024/2025","Green","2022/2023"
"Manor Place",22501649,9905.00,"1171L13",532063.22,178317.09,"Not Applicable","LED","2024/2025","Green","2022/2023"
