"site_name","site_code","asset_number","asset_id","easting","northing","ev_charger","lamp_type","next_electrical_test_date","structural_test_classification","next_structural_test_year"
"Consort Road",22500579,3628.00," 2465L27",534655.39,176225.43,"Not Applicable","LED","2028/2029","Low Amber","2026/2027"
"Consort Road",22500579,3643.00," 2465L42",534732.96,175988.93,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Consort Road",22500579,3666.00," 2465L06",534566.25,176644.12,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Consort Road",22500579,3668.00," 2465L04",534560.38,176689.81,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Consort Road",22500579,100005.00,"24655BL04",534585,176352,"Not Applicable","LED","2024/2025","New Item (Test After 15yrs)","2034/2035"
"Cooks Road",22500588,3688.00,"1038L02",531905.52,177630.14,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Cooks Road",22500588,3692.00,"1038L06",531864.92,177679.88,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Cooks Road",22500588,3699.00,"1038L13",531772,177789.1,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Cooks Road",22500588,3700.00,"1038L14",531757.44,177802.84,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Cooks Road",22500588,3708.00,"1038L22",531647.44,177878.12,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Coopers Road",22500590,100004.00,"2353L11",533971.3,178388.8,"Not Applicable","LED","2029/2030",4,"2026/2027"
"Copeland Road",22500593,3728.00,"2744L18",534484.04,176309.9,"Not Applicable","LED","2028/2029","High Amber","2026/2027"
"Copeland Road",22500593,3738.00,"2744L07",534517.3,176122.62,"Not Applicable","LED","2028/2029","Low Amber","2026/2027"
"Copeland Road",22500593,3745.01,"2744L14",534500.04,176241.02,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Copleston Road",22500597,3757.00,"2118L10",533637.08,175805.85,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Copleston Road",22500597,3757.08,"2118L18",533631.41,175609.98,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Copleston Road",22500597,3757.10,"2118L20",533633.66,175572.6,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Copleston Road",22500597,3757.16,"2118L26",533669.36,175432.53,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Copperfield Street",22500603,3770.00,"1454L03",531926.8,179947.52,"Not Applicable","SON","2024/2025","New Item (Test After 15yrs)","2034/2035"
"Corbetts Passage",22500606,3786.00,"198L04",535206.01,178570.81,"Not Applicable","LED","2028/2029","Low Amber","2025/2026"
"Corbetts Passage",22500606,100001.00,"198L09",535291.1,178530.7,"Not Applicable","LED","2024/2025","New Item (Test After 15yrs)","2025/2026"
"Costa Street",22500609,3794.00,"2730L04",534145.15,176002.49,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Cottage Green",22500612,3798.00,"2234L01",532984.34,177290.41,"Not Applicable","LED","2022/2023","Low Amber","2024/2025"
"County Grove",22500616,3815.00,"2023L06",532129.8,176885,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Court Lane",22500620,3821.00,"2563L01",534071.11,173666.97,"Not Applicable","LED","2023/2024","Green","2025/2026"
"Court Lane",22500620,3836.00,"2563L16",533728.51,173870.46,"Not Applicable","LED","2023/2024","Green","2025/2026"
"Court Lane",22500620,3852.00,"2563L27",533457.48,173968.05,"Not Applicable","LED","2023/2024","Low Amber","2025/2026"
"Court Lane Gardens",22500626,3866.04,"2589L08",533416.67,173955.67,"Not Applicable","SON","2025/2026","Low Amber","2025/2026"
"Court Lane Gardens",22500626,3866.05,"2589L09",533399.7,173968,"Not Applicable","SON","2025/2026","Limitation","2025/2026"
"Coxs Walk",22500628,3869.00,"2564L03",534399.57,173277.57,"Not Applicable","LED","2029/2030","Low Amber","2025/2026"
"Coxs Walk",22500628,3872.00,"2564L06",534414.96,173182.98,"Not Applicable","LED","2029/2030","Limitation","2025/2026"
"Coxs Walk",22500628,3879.00,"2564L13",534451.2,173041.89,"Not Applicable","LED","2029/2030","Limitation","2025/2026"
"Coxs Walk",22500628,3882.00,"2564L16",534463.7,172967.18,"Not Applicable","LED","2029/2030","Low Amber","2025/2026"
"Coxs Walk",22500628,3889.00,"2564L23",534513.08,172841.16,"Not Applicable","LED","2029/2030","Limitation","2025/2026"
"Coxs Walk",22500628,3890.00,"2564L24",534502.5,172808.13,"Not Applicable","LED","2029/2030","Limitation","2025/2026"
"Crampton Street",22500633,3899.00,"1060L01",532116.48,178364.9,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Crampton Street",22500633,3905.00,"1060L02",532103.92,178385.8,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Crawford Road",22500637,3927.00,"2054L05",532350.41,176494.72,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Crawford Road",22500637,3928.00,"2054L06",532375.98,176477.33,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Crawthew Grove",22500639,3938.00,"2621L06",533913.05,175179.92,"Not Applicable","LED","2023/2024","Green","2025/2026"
"Crebor Street",22500641,3943.00,"2605L01",534394.65,174277.71,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Crebor Street",22500641,3946.01,"2605L05",534452.74,174252.39,"Not Applicable","LED","2028/2029","Green","2025/2026"
