2021 output area,2021,Density
E00016098,"24,198.50",24198.5
E00016102,"25,252.50",25252.5
E00177486,"26,535.10",26535.1
E00016084,"35,176.50",35176.5
E00016088,"30,434.80",30434.8
E00016090,"18,400.00",18400
E00016092,"34,305.60",34305.6
E00016093,"13,923.40",13923.4
E00016101,"14,054.10",14054.1
E00016097,"16,850.00",16850
E00016100,"7,282.40",7282.4
E00016106,"9,330.70",9330.7
E00016108,"8,278.40",8278.4
E00016109,"7,253.90",7253.9
E00177541,"19,206.30",19206.3
E00177627,"55,937.50",55937.5
E00177631,"103,333.30",103333.3
E00177657,"23,475.20",23475.2
E00016066,"12,456.90",12456.9
E00016067,"13,651.50",13651.5
E00016087,"6,739.10",6739.1
E00016096,"19,360.70",19360.7
E00177509,"28,039.20",28039.2
E00177628,"31,242.90",31242.9
E00177654,"20,568.20",20568.2
E00015584,"13,813.20",13813.2
E00015585,"8,939.80",8939.8
E00015586,"16,521.70",16521.7
E00015587,"15,434.80",15434.8
E00015589,"31,779.70",31779.7
E00015594,"21,944.40",21944.4
E00015595,"11,243.20",11243.2
E00015600,"37,472.50",37472.5
E00015601,"41,875.00",41875
E00015603,"25,210.10",25210.1
E00015588,"29,230.80",29230.8
E00015591,"22,946.90",22946.9
E00015592,"11,226.20",11226.2
E00015596,"10,448.30",10448.3
E00177621,"79,782.60",79782.6
E00177673,"4,161.20",4161.2
E00015756,"12,869.60",12869.6
E00015773,"13,302.20",13302.2
E00015774,"19,222.20",19222.2
E00015777,"16,928.60",16928.6
E00015779,"33,551.40",33551.4
E00015778,"16,436.80",16436.8
E00015781,"21,658.00",21658
E00015783,"20,782.60",20782.6
E00015784,"18,685.30",18685.3
E00015785,"17,164.20",17164.2
E00015354,"11,877.10",11877.1
E00015355,"15,000.00",15000
E00015356,"28,875.00",28875
E00015360,"14,375.00",14375
E00015362,"31,655.60",31655.6
E00015359,"14,761.90",14761.9
E00015361,"32,187.50",32187.5
E00015366,"18,314.00",18314
E00015368,"7,775.20",7775.2
E00015371,"28,900.00",28900
E00015494,"17,382.20",17382.2
E00015496,"20,694.40",20694.4
E00015497,"13,915.10",13915.1
E00015499,"21,614.90",21614.9
E00015502,"60,684.90",60684.9
E00016068,"10,215.80",10215.8
E00016069,"5,931.40",5931.4
E00016103,"17,159.80",17159.8
E00016104,"11,162.10",11162.1
E00016105,"13,981.90",13981.9
E00016070,"13,776.60",13776.6
E00016107,"14,098.40",14098.4
E00016110,"17,058.80",17058.8
E00016111,"18,103.40",18103.4
E00015574,"27,410.70",27410.7
E00015578,"12,857.10",12857.1
E00015579,"15,458.50",15458.5
E00015581,"13,876.70",13876.7
E00015583,"23,760.70",23760.7
E00015593,"28,872.20",28872.2
E00015597,"20,056.20",20056.2
E00015598,"24,406.80",24406.8
E00177482,"29,125.00",29125
E00177525,"220,833.30",220833.3
E00177534,"53,108.10",53108.1
E00015605,"22,016.10",22016.1
E00015606,"23,821.10",23821.1
E00015609,"12,265.00",12265
E00015612,"19,655.20",19655.2
E00015614,"18,395.70",18395.7
E00015575,"26,080.00",26080
E00015577,"21,802.30",21802.3
E00015580,"6,612.90",6612.9
E00015611,"18,969.10",18969.1
E00015613,"13,720.90",13720.9
E00015617,"16,821.70",16821.7
E00015775,"5,438.30",5438.3
E00015782,"24,227.60",24227.6
E00015786,"11,911.10",11911.1
E00015787,"19,285.70",19285.7
E00177530,"43,762.40",43762.4
E00177564,"50,735.30",50735.3
E00015357,"16,940.60",16940.6
E00015358,"12,863.60",12863.6
E00171531,"22,568.30",22568.3
E00171532,"17,324.80",17324.8
E00177650,"21,493.20",21493.2
E00177682,"12,482.30",12482.3
E00015363,"8,040.40",8040.4
E00015372,"14,488.90",14488.9
E00015374,"6,681.30",6681.3
E00015375,"25,862.10",25862.1
E00015382,"8,934.10",8934.1
E00015341,"13,673.50",13673.5
E00015364,"9,884.10",9884.1
E00015367,"11,594.70",11594.7
E00015369,"28,267.70",28267.7
E00015373,"20,500.00",20500
E00015398,"15,559.30",15559.3
E00015401,"26,553.70",26553.7
E00015403,"24,144.10",24144.1
E00015404,"44,220.20",44220.2
E00177557,"31,621.60",31621.6
E00177596,"90,652.20",90652.2
E00015400,"18,081.60",18081.6
E00015402,"44,252.90",44252.9
E00015405,"15,734.60",15734.6
E00015406,"11,889.40",11889.4
E00015407,"30,217.40",30217.4
E00015408,"27,230.80",27230.8
E00015409,"24,206.30",24206.3
E00015413,"21,338.60",21338.6
E00015414,"9,708.00",9708
E00015332,"37,333.30",37333.3
E00015333,"9,338.50",9338.5
E00015334,"13,729.50",13729.5
E00015335,"13,778.50",13778.5
